Farm_ID,Date,Demand_kg,AvgTemp_C,Rainfall_mm,Price_per_kg,Household_Income
F1,2014-01,406.2,25.4,58,166.76,51995.27
F1,2014-02,509.8,29.5,69.9,245.57,77904.6
F1,2014-03,508.5,31.8,74.4,158.33,71605.51
F1,2014-04,439.2,27.3,173.1,201.64,73316.23
F1,2014-05,289.6,27.5,244.7,163.82,64968.95
F1,2014-06,356.6,25,248.8,193.59,46526.88
F1,2014-07,405.3,26.6,241.7,157.1,65420.93
F1,2014-08,451.5,25.9,276.9,162.03,59087.04
F1,2014-09,395.1,28.1,129.1,177.14,82168.41
F1,2014-10,470.9,24.4,174.1,180.03,77372.8
F1,2014-11,340.2,26.6,75.1,189.37,49469.2
F1,2014-12,419.7,25.2,0,116.9,65182.77
F1,2015-01,362.7,25.4,62.1,178.08,88292.79
F1,2015-02,552.8,30.5,73.5,151.62,59602.29
F1,2015-03,368.5,34.9,71.2,196.03,59479.32
F1,2015-04,456.5,32.3,141.6,218.06,38972.23
F1,2015-05,303.3,30.4,229.3,188.46,85599.07
F1,2015-06,334.3,26,243.7,148.75,67103.89
F1,2015-07,475.7,29.1,154,152.29,54648.82
F1,2015-08,426.8,28.1,227.8,137.85,62769.51
F1,2015-09,406.8,27.6,213,152.66,69264.61
F1,2015-10,327.3,26.5,260.9,175.86,49284.73
F1,2015-11,452.4,26.9,107.3,150.91,48732.31
F1,2015-12,507.9,27.5,47.4,186.44,88451.89
F1,2016-01,379.4,24.5,65.1,165.21,78140.73
F1,2016-02,461.1,35.5,80.8,170.74,74657.7
F1,2016-03,428.7,29.7,70.8,204.81,53213.07
F1,2016-04,411.6,32.1,238.9,204.2,61387.18
F1,2016-05,321.2,29.5,231.5,147.14,65366.81
F1,2016-06,403.5,28.2,228,188.1,50941.43
F1,2016-07,498.1,26.5,215.2,247.05,68563.36
F1,2016-08,497.5,27.9,256.8,146.95,37488.47
F1,2016-09,376.6,24.3,208.3,132.65,70293.9
F1,2016-10,358.1,25.1,119.4,201.21,61928.27
F1,2016-11,318.4,23.5,81,156.97,92159.16
F1,2016-12,464.6,21.9,82.7,161.11,34963.01
F1,2017-01,320.4,29.3,54.6,156.93,86481.81
F1,2017-02,605.4,27.5,0,232.44,75486.98
F1,2017-03,472.4,29,39.6,205.49,46096.04
F1,2017-04,375.6,23.5,197,222.65,38547.88
F1,2017-05,376.7,26.3,178,216.96,66074.63
F1,2017-06,419,25.6,245.5,172.27,69931.96
F1,2017-07,412.3,23.5,279.3,171.42,66589.91
F1,2017-08,370,25,194.6,158.21,72744.03
F1,2017-09,436.6,24.6,217.9,181.63,50554.49
F1,2017-10,440.1,27.1,243.8,169.58,61759.91
F1,2017-11,414.7,24.8,95.6,161.21,53881.27
F1,2017-12,493.2,26,75.2,183.64,55346
F1,2018-01,547.5,25.7,76.5,191.3,33119.32
F1,2018-02,504.2,32.4,61.1,176.02,59867.74
F1,2018-03,563.5,33.5,28.2,217.16,53500.45
F1,2018-04,396.7,31.1,210.2,213.09,52839.27
F1,2018-05,326,28.7,166.8,199.51,72864.89
F1,2018-06,272.2,26,192,156.35,59277.07
F1,2018-07,413.4,27.5,263.6,178.03,70352.16
F1,2018-08,315.1,26.4,179.9,179.47,60815.26
F1,2018-09,503.7,26.8,313.8,154.65,73084.81
F1,2018-10,331.2,30.4,209.2,166.85,39674.13
F1,2018-11,325.8,22.4,90.7,207.52,74256.36
F1,2018-12,496.9,24.2,58.5,184.84,82149.88
F1,2019-01,508.6,25.7,84,160.62,34302.98
F1,2019-02,483.8,29.8,97.1,190.1,60704.71
F1,2019-03,450.2,31.2,61,200.29,70674.22
F1,2019-04,444.6,26.9,143.8,221.02,61735.12
F1,2019-05,441.2,26.1,259,173.32,44694.25
F1,2019-06,368.9,29,186.5,191.17,33618.91
F1,2019-07,486.8,21.9,140.8,126.58,52699.28
F1,2019-08,499.8,28,266.7,135.93,59166.78
F1,2019-09,432.2,25.9,219.2,141.18,58156.33
F1,2019-10,383.8,23.8,196.2,168.75,74327.13
F1,2019-11,314,27,50.3,158.82,38488.67
F1,2019-12,369.6,26.1,66.2,156.01,63209.7
F1,2020-01,358.7,25.6,67.8,154.38,95612.13
F1,2020-02,304.1,28.7,63.8,202,64668.75
F1,2020-03,320.5,30.2,50.6,146.05,44081.06
F1,2020-04,436.7,28.5,167.3,174.16,82199.16
F1,2020-05,331.8,28,318.7,152.34,73892.66
F1,2020-06,248.5,23.2,295.5,147.15,52693.12
F1,2020-07,266.2,24.9,158.6,201.41,56415.78
F1,2020-08,290.1,24.8,154.6,174.45,71270.81
F1,2020-09,261,24.5,246.7,109.25,63895.84
F1,2020-10,205.6,27.3,154.8,151.83,60710.98
F1,2020-11,333.5,27.5,58,214.82,68656.08
F1,2020-12,336.5,26.7,65.9,174.29,57664.84
F1,2021-01,325.7,26.2,67.6,173.91,64346.62
F1,2021-02,349.7,31.7,111.5,169.46,26545.05
F1,2021-03,361.2,33.4,70.4,196.68,37821.21
F1,2021-04,405.2,30.7,257.2,173.46,66057.31
F1,2021-05,255.3,24.3,241.5,171.09,79304.62
F1,2021-06,342.5,25.1,177.8,199.41,75129.04
F1,2021-07,227.9,23.5,161.3,198.4,62707.96
F1,2021-08,399.8,25.6,332.2,223.02,68854.12
F1,2021-09,376.3,26.9,160.5,173.66,58646.59
F1,2021-10,284.7,31.1,239.1,172.46,51257.99
F1,2021-11,302.8,22.7,49.8,150.94,37458.52
F1,2021-12,255.3,23.7,64.8,180.97,57641.79
F1,2022-01,272.1,28.3,107,180.33,48013.34
F1,2022-02,477.2,30,66.7,174.35,70114.21
F1,2022-03,467.1,30.3,67.7,167.86,80828.73
F1,2022-04,432.5,25.8,67,195.8,56177.68
F1,2022-05,320.8,27.1,192.5,205.05,74035.18
F1,2022-06,270.1,27.4,263.6,171.97,58044.82
F1,2022-07,340.4,23.9,225,162.5,70664.4
F1,2022-08,468.4,25.3,222.2,156.86,45939.66
F1,2022-09,462.9,29.5,116.5,190.98,49434.84
F1,2022-10,443,22.9,129.6,194.93,27451.83
F1,2022-11,473.3,24.9,34.9,177.98,59435.48
F1,2022-12,389.6,26.2,92.1,213.1,70083.86
F1,2023-01,467.5,25.2,57.5,176.95,51903.6
